stage,pressure_kPa,temperature_C,liquid_kg_h,vapor_kg_h
8__Main Tower,175.8823529411767,348.5352607008107,71676.41093833756,177837.08728595902
7__Main Tower,176.47058823529434,353.79310314021984,44058.199206892285,168494.2882937023
6__Main Tower,177.058823529412,369.1804655610239,338857.16862068285,140876.07656225702
5__Main Tower,177.64705882352965,367.2990709070689,328535.59820776706,40866.890686205756
4__Main Tower,178.2352941176473,366.3635198838608,323648.6058534576,30545.32027328995
3__Main Tower,178.82352941176495,365.5789670435677,319702.408305793,25658.327918980467
2__Main Tower,179.4117647058826,364.47099713264345,314432.7458453863,21712.130371315994
1__Main Tower,180.0,361.3150347106092,300190.277934477,16442.467910909225
8__Kerosene SS,157.64705882352948,184.53569506830866,13289.502721237379,1270.5150727483651
7__Kerosene SS,157.64705882352948,188.28515987224853,13695.379248786501,3669.2227567757473
6__Kerosene SS,157.64705882352948,188.924341141331,13765.27480835294,4075.0992843248655
5__Kerosene SS,157.64705882352948,189.19689123756757,13794.901367565253,4144.994843891307
4__Kerosene SS,157.64705882352948,189.4809515388684,13825.43359188735,4174.6214031036225
3__Kerosene SS,157.64705882352948,189.91569380722638,13871.046109256617,4205.153627425718
2__Kerosene SS,157.64705882352948,190.6883984971521,13948.107362551345,4250.766144794984
1__Kerosene SS,157.64705882352948,192.25059257044404,14089.897046814292,4327.827398089713
Kerosene SS_Reb,157.64705882352948,195.8702916750242,9620.279964461632,4469.617082352659
6__Diesel SS,165.29411764705895,213.50104710301184,28804.932874820424,3926.4279056947644
5__Diesel SS,165.29411764705895,212.36417531621845,28514.57511194686,3519.9666029598707
4__Diesel SS,165.29411764705895,211.14847399834332,28213.23514597933,3229.60884008632
3__Diesel SS,165.29411764705895,209.5593576877148,27828.43673171029,2928.2688741187835
2__Diesel SS,165.29411764705895,206.98701864810704,27221.439347456148,2543.4704598497524
1__Diesel SS,165.29411764705895,201.1494289614513,25584.96627186053,1936.4730755956114
6__AGO SS,171.17647058823547,296.67517922923776,67268.45958892522,16466.537496763904
5__AGO SS,171.17647058823547,294.3071740197014,65305.836942628484,12534.190876748564
4__AGO SS,171.17647058823547,292.416965501724,63825.47247672738,10571.568230451816
3__AGO SS,171.17647058823547,290.38982843256645,62313.15990271297,9091.203764550726
2__AGO SS,171.17647058823547,287.4579140390963,60229.96564318868,7578.8911905363275
1__AGO SS,171.17647058823547,281.09489298451024,55234.268712176636,5495.696931012042
