section,object,property,before,after,delta
stage,6__AGO SS,vapor_kg_h,16467.432443401216,16466.537496763904,-0.8949466373123869
stage,5__AGO SS,pressure_kPa,171.17647058823547,171.17647058823547,0.0
stage,5__AGO SS,temperature_C,294.30855749910927,294.3071740197014,-0.0013834794078775303
stage,5__AGO SS,liquid_kg_h,65319.1040831367,65305.836942628484,-13.267140508214652
stage,5__AGO SS,vapor_kg_h,12535.11579077395,12534.190876748564,-0.9249140253868973
stage,4__AGO SS,pressure_kPa,171.17647058823547,171.17647058823547,0.0
stage,4__AGO SS,temperature_C,292.41872435082064,292.416965501724,-0.0017588490966318204
stage,4__AGO SS,liquid_kg_h,63838.67887782347,63825.47247672738,-13.206401096089394
stage,4__AGO SS,vapor_kg_h,10572.450115142205,10571.568230451816,-0.8818846903886879
stage,3__AGO SS,pressure_kPa,171.17647058823547,171.17647058823547,0.0
stage,3__AGO SS,temperature_C,290.39195908063095,290.38982843256645,-0.002130648064508023
stage,3__AGO SS,liquid_kg_h,62326.27562598736,62313.15990271297,-13.115723274386255
stage,3__AGO SS,vapor_kg_h,9092.024909828968,9091.203764550726,-0.8211452782416018
stage,2__AGO SS,pressure_kPa,171.17647058823547,171.17647058823547,0.0
stage,2__AGO SS,temperature_C,287.460513991618,287.4579140390963,-0.002599952521677551
stage,2__AGO SS,liquid_kg_h,60242.90289228973,60229.96564318868,-12.937249101043562
stage,2__AGO SS,vapor_kg_h,7579.621657992853,7578.8911905363275,-0.7304674565257301
stage,1__AGO SS,pressure_kPa,171.17647058823547,171.17647058823547,0.0
stage,1__AGO SS,temperature_C,281.09827939145816,281.09489298451024,-0.0033864069479250247
stage,1__AGO SS,liquid_kg_h,55246.6539679945,55234.268712176636,-12.385255817862344
stage,1__AGO SS,vapor_kg_h,5496.248924295211,5495.696931012042,-0.5519932831684855
