section,object,property,before,after,delta
stage,35__Main Tower,temperature_C,172.31365804354795,172.31188904621814,-0.0017689973298047335
stage,35__Main Tower,liquid_kg_h,202687.1882905307,202689.40664725177,2.2183567210740875
stage,35__Main Tower,vapor_kg_h,41855.172440990194,41855.16995697758,-0.0024840126134222373
stage,34__Main Tower,pressure_kPa,160.58823529411774,160.58823529411774,0.0
stage,34__Main Tower,temperature_C,180.02201861840598,180.01985953729144,-0.00215908111454155
stage,34__Main Tower,liquid_kg_h,43058.82409761899,43059.83330596658,1.0092083475901745
stage,34__Main Tower,vapor_kg_h,54680.64280253501,54680.2320972996,-0.4107052354083862
stage,33__Main Tower,pressure_kPa,161.1764705882354,161.1764705882354,0.0
stage,33__Main Tower,temperature_C,189.48410900529439,189.48137951527292,-0.002729490021465608
stage,33__Main Tower,liquid_kg_h,45220.264799161516,45221.20443674415,0.939637582632713
stage,33__Main Tower,vapor_kg_h,65051.064218213774,65050.32038745243,-0.743830761341087
stage,32__Main Tower,pressure_kPa,161.76470588235304,161.76470588235304,0.0
stage,32__Main Tower,temperature_C,193.98417348583303,193.98125330130915,-0.002920184523873104
stage,32__Main Tower,liquid_kg_h,45944.356426598424,45945.28469910517,0.9282725067459978
stage,32__Main Tower,vapor_kg_h,67212.50491975628,67211.69151823003,-0.8134015262476169
stage,31__Main Tower,pressure_kPa,162.3529411764707,162.3529411764707,0.0
stage,31__Main Tower,temperature_C,197.05886463043316,197.0558669422337,-0.002997688199457116
stage,31__Main Tower,liquid_kg_h,46185.463874518144,46186.39718059138,0.9333060732387821
stage,31__Main Tower,vapor_kg_h,67936.5965471932,67935.771780591,-0.8247666021925397
stage,30__Main Tower,pressure_kPa,162.94117647058835,162.94117647058835,0.0
stage,30__Main Tower,temperature_C,199.70687385510803,199.7038694766564,-0.003004378451635148
stage,30__Main Tower,liquid_kg_h,46159.0455875525,46159.958262994754,0.9126754422541126
stage,30__Main Tower,vapor_kg_h,68177.70399511291,68176.88426207723,-0.8197330356779275
stage,29__Main Tower,pressure_kPa,163.529411764706,163.529411764706,0.0
stage,29__Main Tower,temperature_C,202.447108540498,202.44422686098653,-0.0028816795114607885
stage,29__Main Tower,liquid_kg_h,45918.6072544333,45919.41900254705,0.811748113752401
stage,29__Main Tower,vapor_kg_h,68151.28570814729,68150.4453444806,-0.8403636666917009
stage,28__Main Tower,pressure_kPa,164.11764705882365,164.11764705882365,0.0
stage,28__Main Tower,temperature_C,205.67371632789155,205.6712229033734,-0.0024934245181498227
stage,28__Main Tower,liquid_kg_h,45469.427035132605,45469.99524579076,0.5682106581516564
stage,28__Main Tower,vapor_kg_h,67910.84737502808,67909.9060840329,-0.9412909951788606
stage,27__Main Tower,pressure_kPa,164.7058823529413,164.7058823529413,0.0
stage,27__Main Tower,temperature_C,209.74483877580172,209.743194768941,-0.001644006860715308
stage,27__Main Tower,liquid_kg_h,44844.648674842436,44844.82705371894,0.1783788765023928
stage,27__Main Tower,vapor_kg_h,67461.6671557274,67460.48232727664,-1.1848284507577773
stage,26__Main Tower,pressure_kPa,165.29411764705895,165.29411764705895,0.0
stage,26__Main Tower,temperature_C,215.00025942244872,215.00005499443893,-0.00020442800979481035
stage,26__Main Tower,liquid_kg_h,15016.949168279427,15011.802754202845,-5.146414076582005
stage,26__Main Tower,vapor_kg_h,62910.4860614726,62908.88622951004,-1.5998319625578006
stage,25__Main Tower,pressure_kPa,165.8823529411766,165.8823529411766,0.0
stage,25__Main Tower,temperature_C,221.56584321296077,221.5676852010975,0.0018419881367321977
stage,25__Main Tower,liquid_kg_h,14753.042119714664,14747.882744788443,-5.159374926221062
stage,25__Main Tower,vapor_kg_h,62289.25032828218,62287.25610754927,-1.9942207329077064
stage,24__Main Tower,pressure_kPa,166.47058823529426,166.47058823529426,0.0
stage,24__Main Tower,temperature_C,224.27751988419857,224.27926474107682,0.001744856878246992
stage,24__Main Tower,liquid_kg_h,343193.69032279775,343183.80142129224,-9.888901505502872
stage,24__Main Tower,vapor_kg_h,62025.34327971741,62023.336098134845,-2.0071815825649537
stage,23__Main Tower,pressure_kPa,167.0588235294119,167.0588235294119,0.0
stage,23__Main Tower,temperature_C,240.80337900023335,240.8060934920013,0.0027144917679606806
stage,23__Main Tower,liquid_kg_h,390948.69559526443,390939.96085744974,-8.734737814695109
stage,23__Main Tower,vapor_kg_h,149460.78995789733,149458.03481051893,-2.7551473783969413
stage,22__Main Tower,pressure_kPa,167.64705882352956,167.64705882352956,0.0
stage,22__Main Tower,temperature_C,250.18233463032618,250.18578288758522,0.003448257259037746
stage,22__Main Tower,liquid_kg_h,171425.70559845952,171421.75897053126,-3.9466279282642063
stage,22__Main Tower,vapor_kg_h,197215.79523036414,197214.19424667643,-1.6009836877055932
stage,21__Main Tower,pressure_kPa,168.23529411764721,168.23529411764721,0.0
stage,21__Main Tower,temperature_C,262.68066981674883,262.6848361552468,0.004166338497952893
stage,21__Main Tower,liquid_kg_h,183176.17128143567,183172.34550628293,-3.8257751527416985
stage,21__Main Tower,vapor_kg_h,213506.16204830387,213505.36761371937,-0.7944345845025964
stage,20__Main Tower,pressure_kPa,168.82352941176487,168.82352941176487,0.0
stage,20__Main Tower,temperature_C,269.5991060573107,269.603509445428,0.004403388117339091
stage,20__Main Tower,liquid_kg_h,186256.73954887126,186252.9167599065,-3.822788964753272
stage,20__Main Tower,vapor_kg_h,225256.62773128002,225255.95414947107,-0.6735818089509849
stage,19__Main Tower,pressure_kPa,169.41176470588252,169.41176470588252,0.0
stage,19__Main Tower,temperature_C,275.3980105302709,275.40240069301217,0.004390162741287895
stage,19__Main Tower,liquid_kg_h,185905.10618775449,185901.4758231107,-3.630364643788198
stage,19__Main Tower,vapor_kg_h,228337.19599871562,228336.5254030945,-0.6705956211080775
stage,18__Main Tower,pressure_kPa,170.00000000000017,170.00000000000017,0.0
stage,18__Main Tower,temperature_C,281.57604191209634,281.58008780106195,0.004045888965606537
stage,18__Main Tower,liquid_kg_h,182307.90655335225,182305.68075224917,-2.225801103078993
stage,18__Main Tower,vapor_kg_h,227985.5626375989,227985.0844662987,-0.4781713002012111
stage,17__Main Tower,pressure_kPa,170.58823529411782,170.58823529411782,0.0
stage,17__Main Tower,temperature_C,289.49642090236296,289.4993137089954,0.0028928066324169777
stage,17__Main Tower,liquid_kg_h,175119.2422015708,175121.34984761797,2.1076460471667815
stage,17__Main Tower,vapor_kg_h,224388.36300319651,224389.2893954372,0.9263922406826168
stage,16__Main Tower,pressure_kPa,171.17647058823547,171.17647058823547,0.0
stage,16__Main Tower,temperature_C,301.00010385930136,300.99997591332624,-0.00012794597512311157
stage,16__Main Tower,liquid_kg_h,96695.42099765204,96716.74872844492,21.327730792880175
stage,16__Main Tower,vapor_kg_h,200732.26620801393,200738.4209940421,6.154786028171657
stage,15__Main Tower,pressure_kPa,171.76470588235313,171.76470588235313,0.0
stage,15__Main Tower,temperature_C,316.7885073380619,316.7822592612001,-0.006248076861766094
stage,15__Main Tower,liquid_kg_h,94160.7233250943,94182.59531017736,21.871985083067557
stage,15__Main Tower,vapor_kg_h,193522.53141549078,193534.62608380968,12.094668318895856
stage,14__Main Tower,pressure_kPa,172.35294117647078,172.35294117647078,0.0
stage,14__Main Tower,temperature_C,327.3807775699222,327.3718883247923,-0.008889245129921619
stage,14__Main Tower,liquid_kg_h,93622.94583906964,93644.46182542956,21.51598635992559
stage,14__Main Tower,vapor_kg_h,190987.83374293317,191000.47266554215,12.638922608981375
stage,13__Main Tower,pressure_kPa,172.94117647058843,172.94117647058843,0.0
stage,13__Main Tower,temperature_C,333.744192293007,333.73472916314654,-0.009463129860478148
stage,13__Main Tower,liquid_kg_h,92664.47304573451,92686.04389636999,21.570850635471288
stage,13__Main Tower,vapor_kg_h,190450.05625690837,190462.33918079434,12.282923885970376
stage,12__Main Tower,pressure_kPa,173.52941176470608,173.52941176470608,0.0
stage,12__Main Tower,temperature_C,337.749420460912,337.7400692436589,-0.009351217253083632
stage,12__Main Tower,liquid_kg_h,91042.64989047054,91064.43719242599,21.787301955453586
stage,12__Main Tower,vapor_kg_h,189491.58346357328,189503.92125173475,12.337788161472417
stage,11__Main Tower,pressure_kPa,174.11764705882374,174.11764705882374,0.0
stage,11__Main Tower,temperature_C,340.6126764798038,340.603635898956,-0.009040580847795354
stage,11__Main Tower,liquid_kg_h,88819.24906803443,88841.30257675167,22.053508717232035
stage,11__Main Tower,vapor_kg_h,187869.7603083093,187882.31454779068,12.554239481367404
stage,10__Main Tower,pressure_kPa,174.7058823529414,174.7058823529414,0.0
stage,10__Main Tower,temperature_C,343.0209423489623,343.0123031560588,-0.00863919290350168
stage,10__Main Tower,liquid_kg_h,85764.79650169007,85787.1402272059,22.343725515835104
stage,10__Main Tower,vapor_kg_h,185646.35948587328,185659.1799321164,12.8204462431313
stage,9__Main Tower,pressure_kPa,175.29411764705904,175.29411764705904,0.0
